Channel 1 counts,Channel 3 power,Channel 4 flux,rr-active-state,RR position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,reconstruction_error,,SHAP_Channel 1 counts,SHAP_Channel 3 power,SHAP_Channel 4 flux,SHAP_rr-active-state,SHAP_RR position,SHAP_ss1-active-state,SHAP_SS1 position,SHAP_ss2-active-state,SHAP_SS2 position
0.769253103,0.618191332,0.005667519,1,0.001321354,1,0.79463511,1,0.553646222,0.240265123,363,0.008678433,0.006998538,0,0,0,0,0,0,0
0.769253103,0.618027579,0.005619959,1,0.001326141,1,0.791736927,1,0.550792086,0.239607955,364,0.008679697,0.007000056,0,0,0,0,0,0,0
0.769543716,0.618227038,0.005549941,1,0.001324546,1,0.788635697,1,0.547758768,0.238954679,365,0.008682778,0.007000815,0,0,0,0,0,0,0
0.769543716,0.618499138,0.005565794,1,0.001324546,1,0.785609023,1,0.54493183,0.238291767,366,0.00868579,0.007001403,0,0,0,0,0,0,0
0.767509423,0.618372322,0.005505023,1,0.001327737,1,0.782769533,1,0.541954507,0.237583077,367,0.008683659,0.007001837,0,0,0,0,0,0,0
0.767800037,0.618339079,0.005598822,1,0.001330929,1,0.77984597,1,0.538921188,0.236877246,368,0.008681153,0.007001821,0,0,0,0,0,0,0
0.767800037,0.61870229,0.005538051,1,0.001321354,1,0.77712228,1,0.536455817,0.236231388,369,0.008680271,0.007004248,0,0,0,0,0,0,0
0.767800037,0.618553312,0.00508095,1,0.001327737,1,0.774438249,1,0.533448096,0.235580436,370,0.008681516,0.007005224,0,0,0,0,0,0,0
0.767800037,0.618504063,0.00473218,1,0.001330929,1,0.77124184,1,0.530126804,0.234913355,371,0.008683679,0.007004946,0,0,0,0,0,0,0
0.767509423,0.618492982,0.004651593,1,0.001324546,1,0.768465803,1,0.527280668,0.234222531,372,0.008680873,0.00700764,0,0,0,0,0,0,0
0.768671876,0.618713371,0.004629134,1,0.001318162,1,0.765854742,1,0.524530524,0.233557705,373,0.008681295,0.007008783,0,0,0,0,0,0,0
0.76809065,0.618719527,0.004615923,1,0.001327737,1,0.763102499,1,0.521645991,0.23288896,374,0.008680337,0.007011074,0,0,0,0,0,0,0
0.767800037,0.618691209,0.004569685,1,0.00132295,1,0.760478747,1,0.519052632,0.23221852,375,0.008679281,0.007012274,0,0,0,0,0,0,0
0.767509423,0.618937454,0.004561758,1,0.001326141,1,0.756708096,1,0.515868927,0.231532435,376,0.008676632,0.007013892,0,0,0,0,0,0,0
0.769253103,0.619012558,0.004516841,1,0.001326141,1,0.754376224,1,0.512829209,0.230906717,377,0.008679423,0.007014864,0,0,0,0,0,0,0
0.769253103,0.619035952,0.004512877,1,0.001321354,1,0.75139714,1,0.509779892,0.230285045,378,0.008681317,0.00701684,0,0,0,0,0,0,0
0.76721881,0.61916523,0.004578932,1,0.001321354,1,0.747866021,1,0.507282524,0.229629034,379,0.008681343,0.007018018,0,0,0,0,0,0,0
0.76721881,0.618383403,0.004572327,1,0.00132295,1,0.744433252,1,0.50419961,0.228951996,380,0.008681754,0.00701816,0,0,0,0,0,0,0
0.767509423,0.61846097,0.004559116,1,0.00132295,1,0.742632794,1,0.500993508,0.228294997,381,0.008681483,0.00701941,0,0,0,0,0,0,0
0.769253103,0.618315686,0.004580254,1,0.00132295,1,0.739288859,1,0.497960189,0.227650759,382,0.008684423,0.007019763,0,0,0,0,0,0,0
0.769253103,0.618191332,0.004557795,1,0.00132295,1,0.736988713,1,0.495243641,0.22699346,383,0.008685511,0.007020102,0,0,0,0,0,0,0
0.769253103,0.618027579,0.004466639,1,0.001326141,1,0.734082599,1,0.49235111,0.226338182,384,0.008687394,0.007020047,0,0,0,0,0,0,0
0.769543716,0.618227038,0.004339813,1,0.001318162,1,0.731355737,1,0.489700156,0.225689057,385,0.00869025,0.007019857,0,0,0,0,0,0,0
0.769543716,0.618499138,0.004067667,1,0.001324546,1,0.727864276,1,0.486433259,0.225039286,386,0.008693128,0.007019898,0,0,0,0,0,0,0
0.767509423,0.618372322,0.003652841,1,0.001321354,1,0.724886777,1,0.483364744,0.224331233,387,0.008691275,0.007020064,0,0,0,0,0,0,0
0.767800037,0.618339079,0.003466566,1,0.001326141,1,0.720411805,1,0.480417817,0.223608439,388,0.008690553,0.007019659,0,0,0,0,0,0,0
0.767800037,0.61870229,0.00339919,1,0.00132295,1,0.71727409,1,0.477355701,0.222909481,389,0.00869167,0.007019861,0,0,0,0,0,0,0
0.767800037,0.618553312,0.003469208,1,0.001321354,1,0.713809596,1,0.474307984,0.222218366,390,0.008692621,0.007020677,0,0,0,0,0,0,0
0.767800037,0.618504063,0.003461282,1,0.001326141,1,0.712906987,1,0.471719424,0.221544546,391,0.008693134,0.007021252,0,0,0,0,0,0,0
0.767509423,0.618492982,0.003449392,1,0.001321354,1,0.706682318,1,0.46832134,0.220810662,392,0.008691378,0.00702177,0,0,0,0,0,0,0
0.768671876,0.618713371,0.003469208,1,0.001314971,1,0.705148359,1,0.465425609,0.220116157,393,0.00869101,0.007022817,0,0,0,0,0,0,0
0.76809065,0.618719527,0.003395227,1,0.001316566,1,0.703240032,1,0.462699461,0.219436627,394,0.008690222,0.007024126,0,0,0,0,0,0,0
0.767800037,0.618691209,0.00339919,1,0.001327737,1,0.700608349,1,0.459843727,0.218746486,395,0.008688459,0.007025454,0,0,0,0,0,0,0
0.767509423,0.618937454,0.003419007,1,0.001327737,1,0.697378628,1,0.456831206,0.218053722,396,0.008686554,0.007026528,0,0,0,0,0,0,0
0.769253103,0.619012558,0.003417686,1,0.001321354,1,0.693699982,1,0.453684298,0.217392179,397,0.008689068,0.007027743,0,0,0,0,0,0,0
0.769253103,0.619035952,0.00343486,1,0.00132295,1,0.690998501,1,0.450870159,0.216747592,398,0.008691699,0.007028233,0,0,0,0,0,0,0
0.76721881,0.61916523,0.003428254,1,0.00132295,1,0.68823674,1,0.447860839,0.21607985,399,0.008691148,0.007029027,0,0,0,0,0,0,0
0.004376448,0.00581507,0.00337541,1,0.001324546,1,0.685643129,1,0.445305876,0.198100027,400,0.007737702,0.006249739,0,0,0,0,0,0,0
0.004327262,0.005760896,0.00336352,1,0.001319758,1,0.682568866,1,0.442280556,0.181089514,401,0.006833739,0.00552048,0,0,0,0,0,0,0
0.004269976,0.005712879,0.003371447,1,0.001327737,1,0.679159892,1,0.438984862,0.164427607,402,0.005946324,0.00480638,0,0,0,0,0,0,0
0.004211489,0.005662398,0.003334456,1,0.001324546,1,0.676298194,1,0.435970742,0.147868927,403,0.0050646,0.004098511,0,0,0,0,0,0,0
0.004149085,0.005610687,0.003227447,1,0.001326141,1,0.67356816,1,0.433462175,0.131516892,404,0.004195082,0.003399862,0,0,0,0,0,0,0
0.00408382,0.005555282,0.002975117,1,0.001316566,1,0.67058273,1,0.430396859,0.115319302,405,0.003337505,0.002705612,0,0,0,0,0,0,0
0.00404363,0.005512189,0.002692402,1,0.001318162,1,0.667510053,1,0.427395538,0.099324942,406,,,,,,,,,
0.003986716,0.00546294,0.002515374,1,0.001324546,1,0.663166745,1,0.42424223,0.083454515,407,,,,,,,,,
0.003939671,0.005424772,0.00247442,1,0.00132295,1,0.661096614,1,0.421522483,0.067725625,408,,,,,,,,,
0.003893513,0.005377986,0.002444035,1,0.001324546,1,0.659002689,1,0.418674747,0.05217164,409,,,,,,,,,
0.003833278,0.005326274,0.00245064,1,0.00132295,1,0.654946502,1,0.415657427,0.051486289,410,,,,,,,,,
0.003772241,0.005284413,0.002470457,1,0.00132295,1,0.649181862,1,0.412976076,0.050779005,411,,,,,,,,,
0.003725451,0.005245014,0.002475741,1,0.001321354,1,0.650404905,1,0.40969958,0.050132866,412,,,,,,,,,
0.003669876,0.005204383,0.002420255,1,0.001324546,1,0.647557484,1,0.406797449,0.04948846,413,,,,,,,,,
0.003614123,0.00516129,0.002426861,1,0.00132295,1,0.644811586,1,0.403728934,0.048838704,414,,,,,,,,,
0.003558142,0.005118197,0.002397796,1,0.001321354,1,0.642238596,1,0.400951592,0.048194046,415,,,,,,,,,
0.003511375,0.005081261,0.002352879,1,0.001326141,1,0.639162747,1,0.397774287,0.047542921,416,,,,,,,,,
0.003466065,0.005043093,0.002355521,1,0.001321354,1,0.636759492,1,0.395035341,0.046916473,417,,,,,,,,,
0.003419875,0.005004925,0.002397796,1,0.001326141,1,0.633889863,1,0.392042019,0.046281617,418,,,,,,,,,
0.003375629,0.004970451,0.002408365,1,0.001324546,1,0.630953608,1,0.389135088,0.045640026,419,,,,,,,,,
0.003323936,0.004931051,0.002414971,1,0.001318162,1,0.626505604,1,0.386106569,0.044993932,420,,,,,,,,,
0.003277196,0.004895346,0.002465173,1,0.001326141,1,0.623889783,1,0.383178841,0.044381938,421,,,,,,,,,
0.003227586,0.004860872,0.002359485,1,0.001321354,1,0.622595357,1,0.380095927,0.043743297,422,,,,,,,,,
0.003185295,0.00482886,0.002326457,1,0.001324546,1,0.619793939,1,0.377406577,0.043105647,423,,,,,,,,,
